Year,Geschlecht,Value
2006,Anteil Jungen,4.3
2007,Anteil Jungen,4.4
2008,Anteil Jungen,4.2
2009,Anteil Jungen,4.6
2010,Anteil Jungen,4.3
2011,Anteil Jungen,4.3
2012,Anteil Jungen,4.3
2013,Anteil Jungen,4.6
2014,Anteil Jungen,4.2
2015,Anteil Jungen,4.6
2016,Anteil Jungen,4.7
2017,Anteil Jungen,5.1
2018,Anteil Jungen,4.4
2019,Anteil Jungen,4.6
2023,Anteil Jungen,5.1
2006,Anteil Mädchen,4.1
2007,Anteil Mädchen,4
2008,Anteil Mädchen,3.5
2009,Anteil Mädchen,4
2010,Anteil Mädchen,4.3
2011,Anteil Mädchen,4.2
2012,Anteil Mädchen,4.1
2013,Anteil Mädchen,4.2
2014,Anteil Mädchen,4.5
2015,Anteil Mädchen,4.6
2016,Anteil Mädchen,5.1
2017,Anteil Mädchen,4.8
2018,Anteil Mädchen,5
2019,Anteil Mädchen,4.8
2023,Anteil Mädchen,5
